"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.spr.JMHBenchmarks.DbBiStreamTestBench.benchmarkDbPushRemoveA","thrpt",10,3,37.946797,37.765485,"ops/s"
"org.spr.JMHBenchmarks.DbBiStreamTestBench.benchmarkDbPushRemoveB","thrpt",20,3,49.446543,8.944710,"ops/s"
"org.spr.JMHBenchmarks.DbBiStreamTestBench.benchmarkPushRemoveC","thrpt",50,3,55.549519,16.864952,"ops/s"
"org.spr.JMHBenchmarks.DbBiStreamTestBench.benchmarkPushRemoveD","thrpt",100,3,56.756103,2.192991,"ops/s"
