"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.spr.JMHBenchmarks.ProtoTestBench.benchmarkRequestResponseT10","thrpt",10,3,22646.002658,26641.716732,"ops/s"
"org.spr.JMHBenchmarks.ProtoTestBench.benchmarkRequestResponseT20","thrpt",20,3,22027.318585,9547.575784,"ops/s"
"org.spr.JMHBenchmarks.ProtoTestBench.benchmarkRequestStreamT10","thrpt",10,3,1324.278837,618.624038,"ops/s"
"org.spr.JMHBenchmarks.ProtoTestBench.benchmarkRequestStreamT20","thrpt",20,3,1638.262880,952.954181,"ops/s"
