"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.spr.JMHBenchmarks.StreamResTestBench.benchmarkBiStreamT10","thrpt",10,3,391.806945,137.456779,"ops/s"
"org.spr.JMHBenchmarks.StreamResTestBench.benchmarkBiStreamT20","thrpt",20,3,441.649880,242.275967,"ops/s"
"org.spr.JMHBenchmarks.StreamResTestBench.benchmarkStreamResponseT10","thrpt",10,3,1338.877749,2224.909797,"ops/s"
"org.spr.JMHBenchmarks.StreamResTestBench.benchmarkStreamResponseT20","thrpt",20,3,1483.148459,705.706806,"ops/s"
