"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.spr.JMHBenchmarks.SizedTestBench.benchmarkRequestResponseT10","thrpt",10,3,254.310695,121.544710,"ops/s"
"org.spr.JMHBenchmarks.SizedTestBench.benchmarkRequestResponseT20","thrpt",20,3,250.885382,107.321775,"ops/s"
"org.spr.JMHBenchmarks.SizedTestBench.benchmarkRequestStreamT10","thrpt",10,3,68.900848,10.037374,"ops/s"
"org.spr.JMHBenchmarks.SizedTestBench.benchmarkRequestStreamT20","thrpt",20,3,67.397944,52.924994,"ops/s"
